"Jakub Zytecki","The Sea's Only Gifts Are Harsh Blows"
"Jakub Zytecki","The Sea's Only Gifts Are Harsh Blows"
"In Flames","Episode 666"
"In Flames","Episode 666"
"Circus Maximus","Used"
"Circus Maximus","Used"
"Repugnant","Spawn of Pure Malevolence"
"Repugnant","Spawn of Pure Malevolence"
"Architects","These Colours Don't Run"
"In Hearts Wake","Cottonmouth"
"Bullet For My Valentine","Raising Hell"
"In Hearts Wake","Cottonmouth"
"Architects","These Colours Don't Run"
"Bullet For My Valentine","Raising Hell"
"Oh, Sleeper","Children Of Fire"
"Fit For A King","Slave to Nothing"
"Reflections","Good Push"
"Reflections","Good Push"
"Obituary","Suffocation - Reissue"
"Obituary","Suffocation - Reissue"
"Protest The Hero","Tilting Against Windmills"
"Protest The Hero","Tilting Against Windmills"
"Slough Feg","Ape Uprising"
"Slough Feg","Ape Uprising"
"The Alan Parsons Project","La Sagrada Familia"
"The Alan Parsons Project","La Sagrada Familia"
"Procol Harum","In Held 'Twas I - Live At Edmonton, Alberta/1971/Medley"
"Procol Harum","In Held 'Twas I - Live At Edmonton, Alberta/1971/Medley"
"Renaissance","Mother Russia"
"Renaissance","Mother Russia"
"Enslaved","The Voices"
"Enslaved","The Voices"
"Vektor","Charging the Void"
"Vektor","Charging the Void"
"Graveworm","To the Empire of Madness"
"Graveworm","To the Empire of Madness"
"Whoretopsy","Nature's Pocket"
"Whoretopsy","Nature's Pocket"
"Voivod","Jack Luminous"
"Voivod","Jack Luminous"
"Memory Garden","Revelation"
"Memory Garden","Revelation"
"Iron Maiden","Satellite 15...The Final Frontier"
"Iron Maiden","Satellite 15...The Final Frontier"
"Kingdom Of Giants","Hollow Tongue"
"Kingdom Of Giants","Hollow Tongue"
"Obsidian Kingdom","A Year With No Summer"
"Obsidian Kingdom","A Year With No Summer"
"The Devil Wears Prada","Reptar, King Of The Ozone"
"The Devil Wears Prada","Reptar, King Of The Ozone"
"Knor","It's Happening"
"False","Hedgecraft"
"False","Hedgecraft"
"Graveworm","To the Empire of Madness"
"Amorphis","To Father's Cabin"
"Embrace the Darkness","Victim of Myself"
"Embrace the Darkness","Victim of Myself"
"Omnium Gatherum","Skyline"
"In Flames","Episode 666"
"Eidola","To Know What's Real"
"Eidola","To Know What's Real"
"Bring Me The Horizon","Hospital For Souls"
"Bring Me The Horizon","Hospital For Souls"
"Weird Owl","White Hidden Fire"
"Weird Owl","White Hidden Fire"
"The Devil Wears Prada","Mammoth"
"The Devil Wears Prada","Mammoth"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Adept","Black Veins"
"Adept","Black Veins"
"In Flames","Swim"
"In Flames","Swim"
"Venom","Black Metal - Live"
"Venom","Black Metal - Live"
"Yautja","Of Lament"
"Yautja","Of Lament"
"Thy Grief Eternal","On Blackened Wings"
"Thy Grief Eternal","On Blackened Wings"
"Necrophagist","Fermented Offal Discharge"
"Whoretopsy","Nature's Pocket"
"Obituary","Suffocation - Reissue"
"Thy Grief Eternal","On Blackened Wings"
"Memory Garden","Revelation"
"Weird Owl","White Hidden Fire"
"Adept","Black Veins"
"Bring Me The Horizon","Hospital For Souls"
"The Devil Wears Prada","Reptar, King Of The Ozone"
"Reflections","Good Push"
"In Flames","Swim"
"Wolfheart","Chasm"
"Amorphis","To Father's Cabin"
"Mutiny On The Bounty","Ice Ice Iceland"
"Mutiny On The Bounty","Ice Ice Iceland"
"Midnight","Satanic Royalty"
"Midnight","Satanic Royalty"
"Emerson, Lake & Palmer","From the Beginning"
"Emerson, Lake & Palmer","From the Beginning"
"Parkway Drive","Dark Days"
"""Dark Days"," by Parkway Drive added to R Metalcore playlist on Spotify"
"Anekdoten","Shooting Star"
"Anekdoten","Shooting Star"
"""Dark Days"," by Parkway Drive added to R Metalcore playlist on Spotify"
"Parkway Drive","Dark Days"
"Sabaton","Primo Victoria"
"Sabaton","Primo Victoria"
"The Nice","America - 2009 Digital Remaster"
"The Nice","America - 2009 Digital Remaster"
"Misha Mansoor","Follow In Flight"
"Misha Mansoor","Follow In Flight"
"Venom","In League With Satan"
"Venom","In League With Satan"
"Strawbs","Down By The Sea"
"Strawbs","Down By The Sea"
"Strawbs","Blue Angel"
"Strawbs","Blue Angel"
"Egypt","Valley of the Kings"
"Egypt","Valley of the Kings"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"The Dear Hunter","King of Swords (Reversed)"
"The Dear Hunter","King of Swords (Reversed)"
"Melvins","Heaviness Of The Load"
"Melvins","Heaviness Of The Load"
"Talquin","Variations"
"Talquin","Variations"
"Fates Warning","Leave the Past Behind"
"Fates Warning","Leave the Past Behind"
"The Ocean","The Human Stain"
"The Ocean","The Human Stain"
"Wolfheart","Chasm"
"The Echelon Effect","Branches And Constellations"
"The Echelon Effect","Branches And Constellations"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"Wolfheart","Chasm"
"The Ocean","The Human Stain"
"The Ocean","The Human Stain"
"The Ocean","The Human Stain"
"Cynic","The Space For This"
"Kingdom Of Giants","Hollow Tongue"
"Kingdom Of Giants","Hollow Tongue"
"The Devil Wears Prada","Mammoth"
"The Devil Wears Prada","Mammoth"
"Greenleaf","Howl"
"Greenleaf","Howl"
"Every Time I Die","Hit of the Search Party"
"Every Time I Die","Hit of the Search Party"
"Veil Of Maya","Three-Fifty"
"Veil Of Maya","Three-Fifty"
"Cloudkicker","Let Yourself Be Huge"
"Cloudkicker","Let Yourself Be Huge"
"Decapitated","Spheres of Madness"
"Decapitated","Spheres of Madness"
"Type O Negative","Love You To Death"
"Type O Negative","Love You To Death"
"Nile","Mecca"
"Nile","Mecca"
"Control Denied","Cut Down"
"Control Denied","Cut Down"
"Kreator","Pleasure to Kill"
"Kreator","Pleasure to Kill"
"Decapitated","Spheres of Madness"
"Veil Of Maya","Three-Fifty"
"Every Time I Die","Hit of the Search Party"
"Greenleaf","Howl"
"Melvins","Heaviness Of The Load"
"Sky Sanctuary","Desert Valley (Zone 4)"
"Melvins","Heaviness Of The Load"
"Thy Grief Eternal","On Blackened Wings"
"Egypt","Valley of the Kings"
"Egypt","Valley of the Kings"
"Egypt","Valley of the Kings"
"Memory Garden","Revelation"
"Weird Owl","White Hidden Fire"
"The Dear Hunter","King of Swords (Reversed)"
"Melvins","Heaviness Of The Load"
"Kingdom Of Giants","Hollow Tongue"
"Supertramp","From Now On"
"Supertramp","From Now On"
"Haste The Day","Bleed Alone"
"Haste The Day","Bleed Alone"
"Haste The Day","Bleed Alone"
"Haste The Day","Bleed Alone"
"Nionde Plågan","Orkeslös"
"Nionde Plågan","Orkeslös"
"Fates Warning","Leave the Past Behind"
"Shipwrecks","Owls"
"Shipwrecks","Owls"
"In Solitude","To Her Darkness"
"In Solitude","To Her Darkness"
"Metal Church","Beyond The Black"
"Metal Church","Beyond The Black"
"Veil Of Maya","Three-Fifty"
"Nionde Plågan","Orkeslös"
"Nightwish","Storytime"
"Nightwish","Storytime"
"Pungent Stench","For God Your Soul For Me Your Flesh"
"Pungent Stench","For God Your Soul For Me Your Flesh"
"The Fading","Chasing Time"
"The Fading","Chasing Time"
"The Plot In You","Time Changes Everything"
"The Plot In You","Time Changes Everything"
"Miss May I","Hey Mister"
"Miss May I","Hey Mister"
"Witchfinder General","Invisible Hate"
"Witchfinder General","Invisible Hate"
"Miss May I","Hey Mister"
"Miss May I","Hey Mister"
"The Plot In You","Time Changes Everything"
"The Fading","Chasing Time"
"Pungent Stench","For God Your Soul For Me Your Flesh"
"Exhumed","Limb from Limb"
"Exhumed","Limb from Limb"
"Sonata Arctica","Destruction Preventer"
"Sonata Arctica","Destruction Preventer"
"A Feast for Kings","Idée Fixe"
"A Feast for Kings","Idée Fixe"
"Periphery","Icarus Lives"
"Periphery","Icarus Lives"
"Nightwish","Storytime"
"Cloudkicker","Let Yourself Be Huge"
"Greenleaf","Howl"
"Genesis","Seven Stones"
"Genesis","Seven Stones"
"The Devil Wears Prada","Care More"
"The Devil Wears Prada","Care More"
"Chunk! No, Captain Chunk!","The Other Line"
"Chunk! No, Captain Chunk!","The Other Line"
"Unconditional Arms","Fever Basin"
"Unconditional Arms","Fever Basin"
"Ice Nine Kills","Communion of the Cursed"
"Ice Nine Kills","Communion of the Cursed"
"Tauk","Friction"
"Tauk","Friction"
"Goya","Bad Vibes"
"Goya","Bad Vibes"
"Crucifyre","Hail Satan"
"Crucifyre","Hail Satan"
"Supertramp","The Logical Song - 2010 Remastered"
"Supertramp","The Logical Song - 2010 Remastered"
"Cacophony, Jason Becker, Marty Friedman","Sword of the Warrior"
"Cacophony, Jason Becker, Marty Friedman","Sword of the Warrior"
"Begrime Exemious","Rat Amongst the Herd"
"Begrime Exemious","Rat Amongst the Herd"
"Crucifyre","Hail Satan"
"Goya","Bad Vibes"
"Ice Nine Kills","Communion of the Cursed"
"Chunk! No, Captain Chunk!","The Other Line"
"The Devil Wears Prada","Care More"
"Nile","Mecca"
"Metal Church","Beyond The Black"
"Amon Amarth","At Dawn's First Light"
"Amon Amarth","At Dawn's First Light"
"CKY","Old Carver's Bones"
"CKY","Old Carver's Bones"
"Inquisition","Summoned by Ancient Wizards Under a Black Moon"
"Inquisition","Summoned by Ancient Wizards Under a Black Moon"
"Anubis Gate","Hear My Call"
"Anubis Gate","Hear My Call"
"Egypt","Valley of the Kings"
"Univers Zero","La faulx"
"Univers Zero","La faulx"
"Pelican","Lost In The Headlights"
"Pelican","Lost In The Headlights"
"Split Enz","Hard Act To Follow"
"Split Enz","Hard Act To Follow"
"Greyflood","The Weight of Loneliness"
"Greyflood","The Weight of Loneliness"
"Devil Sold His Soul","The Starting"
"Devil Sold His Soul","The Starting"
"Shipwrecks","Owls"
"Periphery","Icarus Lives"
"Begrime Exemious","Rat Amongst the Herd"
"Destroyer 666","Australian and Anti-Christ"
"Destroyer 666","Australian and Anti-Christ"
"Exivious","Deeply Woven"
"Exivious","Deeply Woven"
"Caverns","Ghosts"
"Caverns","Ghosts"
"Wolves In The Throne Room","Astral Blood"
"Wolves In The Throne Room","Astral Blood"
"Genesis","Seven Stones"
"In Solitude","To Her Darkness"
"Every Time I Die","Hit of the Search Party"
"Univers Zero","La faulx"
"35007","20 09"
"35007","20 09"
"Goya","Bad Vibes"
"Death","Zero Tolerance"
"Death","Zero Tolerance"
"U.K.","Nevermore"
"U.K.","Nevermore"
"Mutoid Man","Bridgeburner"
"Mutoid Man","Bridgeburner"
"Crash Of Rhinos","Closure"
"Crash Of Rhinos","Closure"
"The Slouch In The Couch Childrens Corner Band","The New Alphabet Song"
"The Slouch In The Couch Childrens Corner Band","The New Alphabet Song"
"Jethro Tull","Overseer Overture - Stereo Mix"
"Jethro Tull","Overseer Overture - Stereo Mix"
"Wraith","24 Hours Ago"
"Wraith","24 Hours Ago"
"Panzerballett","Typewriter II"
"Panzerballett","Typewriter II"
"Brocas Helm","Cry Of The Banshee"
"Brocas Helm","Cry Of The Banshee"
"Enforcer","Mesmerized By Fire"
"Enforcer","Mesmerized By Fire"
"Cynic","The Space For This"
"Destroyer 666","Australian and Anti-Christ"
"Oranssi Pazuzu","Vasemman Käden Hierarkia"
"Oranssi Pazuzu","Vasemman Käden Hierarkia"
"Primordial","As Rome Burns"
"Primordial","As Rome Burns"
"Dysrhythmia","The Line Always Snaps"
"Dysrhythmia","The Line Always Snaps"
"Yes","New Language"
"Yes","New Language"
"Vildhjarta","Eternal Golden Monk"
"Vildhjarta","Eternal Golden Monk"
"Witchfynde","Unto The Ages Of The Ages"
"Witchfynde","Unto The Ages Of The Ages"
"Haken","Initiate"
"Haken","Initiate"
"Hatebreed","Become The Fuse"
"Hatebreed","Become The Fuse"
"Amenra","A Mon Ame"
"Amenra","A Mon Ame"
"Kerretta","Ossein Trail"
"Kerretta","Ossein Trail"
"In Flames","Starforsaken"
"In Flames","Starforsaken"
"Jethro Tull","For Michael Collins, Jeffrey And Me - 2013 Stereo Mix"
"Jethro Tull","For Michael Collins, Jeffrey And Me - 2013 Stereo Mix"
"Cult Leader","Driftwood"
"Cult Leader","Driftwood"
"Children Of Bodom","Downfall"
"Children Of Bodom","Downfall"
"Insomnium","The River"
"Insomnium","The River"
"Amon Amarth","Without Fear"
"Amon Amarth","Without Fear"
"Upon This Dawning","13"
"Upon This Dawning","13"
"Leprous","Waste of Air"
"Leprous","Waste of Air"
"War Of Ages","Battle On"
"War Of Ages","Battle On"
"Sirona","Intro"
"Sirona","Intro"
"Breakdown of Sanity","Hero"
"Breakdown of Sanity","Hero"
"Solitude Aeturnus","Pain"
"Solitude Aeturnus","Pain"
"Caballero Reynaldo","Walking On Air (King Crimson)"
"Caballero Reynaldo","Walking On Air (King Crimson)"
"Of the Vine","In Event of Moon Disaster"
"Of the Vine","In Event of Moon Disaster"
"August Burns Red","Endorphins"
"August Burns Red","Endorphins"
"Oceans Ate Alaska","Blood Brothers"
"Oceans Ate Alaska","Blood Brothers"
"Dali's Dilemma","Miracles In Yesteryear"
"Dali's Dilemma","Miracles In Yesteryear"
"Kekal","Let Us Blend"
"Kekal","Let Us Blend"
"Spiritual Beggars","Legends Collapse"
"Spiritual Beggars","Legends Collapse"
"Oh, Sleeper","Shed Your Soul"
"Oh, Sleeper","Shed Your Soul"
"Porcupine Tree","Lazarus"
"Porcupine Tree","Lazarus"
"Dark Castle","Awake In Sleep"
"Dark Castle","Awake In Sleep"
"Graves at Sea","Confession"
"Graves at Sea","Confession"
"Blotted Science","Synaptic Plasticity"
"Blotted Science","Synaptic Plasticity"
"Begotten Silence","Spectral Revelation"
"Begotten Silence","Spectral Revelation"
"Echolyn","Georgia Pine"
"Echolyn","Georgia Pine"
"Bring Me The Horizon","The Comedown"
"Bring Me The Horizon","The Comedown"
"Killswitch Engage","To The Sons Of Man"
"Killswitch Engage","To The Sons Of Man"
"Mastodon","Feast Your Eyes"
"Mastodon","Feast Your Eyes"
"That's Outrageous!","Teenage Scream"
"That's Outrageous!","Teenage Scream"
"IQ","Constellations"
"IQ","Constellations"
"Adagio","From My Sleep... To Someone Else"
"Adagio","From My Sleep... To Someone Else"
"Vir Nocturna","Gooseheads"
"Vir Nocturna","Gooseheads"
"The Ocean","Bathyalpelagic Ii: The Wish in Dreams"
"The Ocean","Bathyalpelagic Ii: The Wish in Dreams"
"Emerson, Lake & Palmer","Touch And Go - Live"
"Emerson, Lake & Palmer","Touch And Go - Live"
"Isis","Ochre"
"Isis","Ochre"
"Architects","Behind the Throne"
"Architects","Behind the Throne"
"Joe Baker","Electro-Metal"
"Joe Baker","Electro-Metal"
"Fit For A King","Impostor"
"Fit For A King","Impostor"
"Symphony X","Electric Messiah"
"Symphony X","Electric Messiah"
"Car Bomb","The Sentinel"
"Car Bomb","The Sentinel"
"Russian Circles","Youngblood"
"Russian Circles","Youngblood"
"The Secret","Bell of Urgency"
"The Secret","Bell of Urgency"
"Texas In July","1000 Lies"
"Texas In July","1000 Lies"
"Peter Hammill","Porton Down - 2006 Digital Remaster"
"Peter Hammill","Porton Down - 2006 Digital Remaster"
"Haste The Day","68"
"Haste The Day","68"
"I See Stars","When I Say Jump, You Say How High"
"I See Stars","When I Say Jump, You Say How High"
"Absu","Pillars Of Mercy"
"Absu","Pillars Of Mercy"
"Buckethead","Eerie Canal"
"Buckethead","Eerie Canal"
"Opeth","The Moor"
"Opeth","The Moor"
"Northlane","Soma"
"Northlane","Soma"
"Bring Me The Horizon","Visions"
"Bring Me The Horizon","Visions"
"Oceans Ate Alaska","Clocks"
"Oceans Ate Alaska","Clocks"
"BABYMETAL","KARATE"
"BABYMETAL","KARATE"
"Plini","Wombat Astronaut (Beyond the Burrow)"
"Plini","Wombat Astronaut (Beyond the Burrow)"
"Leprous","Waste of Air"
"Leprous","Waste of Air"
"Nechochwen","The Serpent Tradition"
"Nechochwen","The Serpent Tradition"
"Letallis","Dissonant Hand"
"Letallis","Dissonant Hand"
"Ares Kingdom","Salient and Redoubt"
"Ares Kingdom","Salient and Redoubt"
"Devin Townsend Project","Numbered!"
"Devin Townsend Project","Numbered!"
"Dream Theater","Learning To Live"
"Dream Theater","Learning To Live"
"Orbit Culture","Dawn of Light"
"Orbit Culture","Dawn of Light"
"Orbit Culture","Dawn of Light"
"Orbit Culture","Dawn of Light"
"Kalmah","Hades"
"Kalmah","Hades"
"Darkthrone","CANADIAN METAL"
"Darkthrone","CANADIAN METAL"
"The Devil Wears Prada","Rumors"
"The Devil Wears Prada","Rumors"
"Sky Written","Keta"
"Sky Written","Keta"
"Aborted","The Holocaust Re-Incarnate"
"Aborted","The Holocaust Re-Incarnate"
"Caligula's Horse","Marigold"
"Caligula's Horse","Marigold"
"Bear Makes Ninja","Shenanagrams"
"Bear Makes Ninja","Shenanagrams"
"Chapel Of Disease","Lord of All Death"
"Chapel Of Disease","Lord of All Death"
"Parkway Drive","Frostbite"
"Parkway Drive","Frostbite"
"Cannabis Corpse","Skull Full of Bong Hits"
"Cannabis Corpse","Skull Full of Bong Hits"
"The Devil Wears Prada","Pretenders"
"The Devil Wears Prada","Pretenders"
"The Plot In You","My Old Ways"
"The Plot In You","My Old Ways"
"Obscura","Sermon of the Seven Suns"
"Obscura","Sermon of the Seven Suns"
"Exhumation","Images Of Our Extinction"
"Exhumation","Images Of Our Extinction"
"Premiata Forneria Marconi","È festa"
"Premiata Forneria Marconi","È festa"
"Sacred Reich","Surf Nicaragua"
"Sacred Reich","Surf Nicaragua"
"Silent Planet","Wasteland"
"Silent Planet","Wasteland"
"Ludwig van Beethoven, Minnesota Orchestra, Osmo Vänskä","Symphony No. 7 in A Major, Op. 92: II. Allegretto"
"Ludwig van Beethoven, Minnesota Orchestra, Osmo Vänskä","Symphony No. 7 in A Major, Op. 92: II. Allegretto"
"Silent Planet","Wasteland"
"Silent Planet","Wasteland"
"Owane","Saturday Begins"
"Owane","Saturday Begins"
"Asphyx","As the Magma Mammoth Rises"
"Asphyx","As the Magma Mammoth Rises"
"Haken","Deathless"
"Haken","Deathless"
"The Human Abstract","Crossing The Rubicon"
"The Human Abstract","Crossing The Rubicon"
"Toothgrinder","Coeur d'Alene"
"Toothgrinder","Coeur d'Alene"
"Opeth","Black Rose Immortal"
"Opeth","Black Rose Immortal"
"A Day To Remember","NJ Legion Iced Tea"
"A Day To Remember","NJ Legion Iced Tea"
"Opeth","To Bid You Farewell"
"Opeth","To Bid You Farewell"
"Beardfish","Akakabotu"
"Beardfish","Akakabotu"
"Winterfylleth","A Valley Thick with Oaks"
"Winterfylleth","A Valley Thick with Oaks"
"Chimaira","Pure Hatred"
"Chimaira","Pure Hatred"
"Animals As Leaders","Behaving Badly"
"Animals As Leaders","Behaving Badly"
"Mahavishnu Orchestra, London Symphony Orchestra","Hymn to Him"
"Mahavishnu Orchestra, London Symphony Orchestra","Hymn to Him"
"Destruction","Curse the Gods"
"Destruction","Curse the Gods"
"Ghost/Aeon","1000 Eyes"
"Ghost/Aeon","1000 Eyes"
"Horrendous","Stillborn Gods"
"Horrendous","Stillborn Gods"
"Kreator","People of the Lie"
"Kreator","People of the Lie"
"張學友","Tian Xia Wu Shuang - Live"
"張學友","Tian Xia Wu Shuang - Live"
"Subliminal Crusher","Archetype"
"Subliminal Crusher","Archetype"
"As I Lay Dying","Parallels"
"As I Lay Dying","Parallels"
"Stormwitch","Walpurgis Night"
"Stormwitch","Walpurgis Night"
"Twisted Sister","I Wanna Rock"
"Twisted Sister","I Wanna Rock"
"San Lorenzo","Life Without Mountains"
"San Lorenzo","Life Without Mountains"
"Twelve Foot Ninja","One Hand Killing"
"Twelve Foot Ninja","One Hand Killing"
"Autopsy","In The Grip Of Winter"
"Autopsy","In The Grip Of Winter"
"Oh, Sleeper","Hush Yael"
"Oh, Sleeper","Hush Yael"
"Young And In The Way","Betrayed by Light"
"Young And In The Way","Betrayed by Light"
"Before The Rain","Wounds Of Rejection"
"Before The Rain","Wounds Of Rejection"
"Bullet For My Valentine","Suffocating Under Words Of Sorrow (What Can I Do)"
"Bullet For My Valentine","Suffocating Under Words Of Sorrow (What Can I Do)"
"A Day To Remember","City of Ocala"
"A Day To Remember","City of Ocala"
"Breakdown of Sanity","Chapters"
"Breakdown of Sanity","Chapters"
"Likes Lions","(Here We Are)"
"Likes Lions","(Here We Are)"
"Ceremonial Perfection","Symbols And Processes"
"Ceremonial Perfection","Symbols And Processes"
"Drop Dead, Gorgeous","Two Birds, One Stone"
"Drop Dead, Gorgeous","Two Birds, One Stone"
"Lullabies for Deep Meditation","Music for Absolute Sleep"
"Lullabies for Deep Meditation","Music for Absolute Sleep"
"Northlane","Masquerade"
"Northlane","Masquerade"
"The Sword","Iron Swan"
"The Sword","Iron Swan"
"Esuna","(You've Got To Treat It Like) An Archaeological Dig"
"Esuna","(You've Got To Treat It Like) An Archaeological Dig"
"Retrograde Motion","Calm Before the Storm"
"Retrograde Motion","Calm Before the Storm"
"Sinister","Desecrated Flesh"
"Sinister","Desecrated Flesh"
"Freddie North","Oh Lord, What Are You Doing to Me"
"Freddie North","Oh Lord, What Are You Doing to Me"
"Sieges Even","Unbreakable"
"Sieges Even","Unbreakable"
"Wo Fat","Lost Highway"
"Wo Fat","Lost Highway"
"High Dependency Unit","Concentricity"
"High Dependency Unit","Concentricity"
"Napalm Death","Siege of Power"
"Napalm Death","Siege of Power"
"Anekdoten","Nucleus"
"Anekdoten","Nucleus"
"Reflections","...and Found"
"Reflections","...and Found"
"In Flames","Cloud Connected"
"In Flames","Cloud Connected"
"The Gabriel Construct","Defense Highway"
"The Gabriel Construct","Defense Highway"
"Bullet For My Valentine","Scream Aim Fire"
"Bullet For My Valentine","Scream Aim Fire"
"Macabre","Drill Bit Lobotomy"
"Macabre","Drill Bit Lobotomy"
"Parkway Drive","Wild Eyes"
"Parkway Drive","Wild Eyes"
"Architects","Early Grave"
"Architects","Early Grave"
"This Town Needs Guns","Chinchilla"
"This Town Needs Guns","Chinchilla"
"God Root","Of Control"
"God Root","Of Control"
"Every Time I Die","Underwater Bimbos From Outer Space"
"Every Time I Die","Underwater Bimbos From Outer Space"
"Wage War","Alive"
"Wage War","Alive"
"Black Sabbath","Looking For Today"
"Black Sabbath","Looking For Today"
"The Dear Hunter","Waves"
"The Dear Hunter","Waves"
"Marillion","Cinderella Search - Live At The Hammersmith Odeon 14/12/84"
"Marillion","Cinderella Search - Live At The Hammersmith Odeon 14/12/84"
"The Dear Hunter","City Escape"
"The Dear Hunter","City Escape"
"Seas of Years","Ledge"
"Seas of Years","Ledge"
"Church Of Misery","Brother Bishop (Gary Heidnik)"
"Church Of Misery","Brother Bishop (Gary Heidnik)"
"Abbath","Winter Bane"
"Abbath","Winter Bane"
"Trivium","Down From The Sky"
"Trivium","Down From The Sky"
"Oceans of Slumber","Devout"
"Oceans of Slumber","Devout"
"Woe, Is Me","Vengeance"
"Woe, Is Me","Vengeance"
"Great Deceivers","Prize Fighter"
"Great Deceivers","Prize Fighter"
"Haken","Because It's There"
"Haken","Because It's There"
"Al Stewart","Life In Dark Water"
"Al Stewart","Life In Dark Water"
"In Hearts Wake","RELEASE (The Moon)"
"In Hearts Wake","RELEASE (The Moon)"
"Pseudogod","The Antichrist Victory"
"Pseudogod","The Antichrist Victory"
"Profanatica","Crucifixion Wounds"
"Profanatica","Crucifixion Wounds"
"Halfsleep","Alas, We Found Ourselves"
"Halfsleep","Alas, We Found Ourselves"
"Cancer Bats","Bricks and Mortar"
"Cancer Bats","Bricks and Mortar"
"Ukandanz","Lantchi Biyé"
"Ukandanz","Lantchi Biyé"
"Asking Alexandria","Circled By The Wolves"
"Asking Alexandria","Circled By The Wolves"
"Unexpect","Feasting Fools"
"Unexpect","Feasting Fools"
"August Burns Red","Existence"
"August Burns Red","Existence"
"The Contortionist","Language I: Intuition"
"The Contortionist","Language I: Intuition"
"TesseracT","Of Matter - Retrospect"
"TesseracT","Of Matter - Retrospect"
"Joncofy","Mediapocalypse"
"Joncofy","Mediapocalypse"
"Pianos Become The Teeth","Young Fire"
"Pianos Become The Teeth","Young Fire"
"Halfsleep","Alas, We Found Ourselves"
"Halfsleep","Alas, We Found Ourselves"
"Joncofy","Mediapocalypse"
"Joncofy","Mediapocalypse"
"Relayer","Robin Hood"
"Relayer","Robin Hood"
"Metalocalypse: Dethklok","Bloodlines"
"Metalocalypse: Dethklok","Bloodlines"
"Symphony X","Children Of A Faceless God"
"Symphony X","Children Of A Faceless God"
"A Day To Remember","I'm Made of Wax, Larry, What Are You Made Of?"
"A Day To Remember","I'm Made of Wax, Larry, What Are You Made Of?"
